EmployeeID,FirstName,LastName,Role,Salary,Phone,Email
1,Ashley,Lee,Accountant,55193,(528)688-1488,ashleylee8353@dreamhomes.com
2,Sandra,Garcia,Accountant,51183,(377)923-0954,sandragarcia6816@dreamhomes.com
3,Mary,Davis,Receptionist,37969,(575)466-3929,marydavis1342@dreamhomes.com
4,Ashley,Sanchez,IT,93078,(481)134-2815,ashleysanchez2421@dreamhomes.com
5,Susan,Johnson,Receptionist,38614,(339)288-3868,susanjohnson4836@dreamhomes.com
6,Lisa,Smith,Accountant,63899,(118)959-5921,lisasmith7394@dreamhomes.com
7,Mary,Perez,Receptionist,33144,(970)818-0934,maryperez5517@dreamhomes.com
8,Matthew,Thomas,IT,80559,(982)906-2936,matthewthomas5161@dreamhomes.com
9,Anthony,Thompson,Accountant,67143,(796)712-0271,anthonythompson5120@dreamhomes.com
10,Emily,Jones,Manager,107190,(345)585-0134,emilyjones2018@dreamhomes.com
11,Mark,Harris,IT,115922,(582)665-1527,markharris7007@dreamhomes.com
12,Charles,Rodriguez,Manager,102391,(401)319-9033,charlesrodriguez8637@dreamhomes.com
13,Elizabeth,Harris,Receptionist,35293,(720)886-2535,elizabethharris2779@dreamhomes.com
14,Paul,Jackson,Sales,43799,(745)945-4698,pauljackson2642@dreamhomes.com
15,Daniel,Martin,Manager,102515,(753)312-3326,danielmartin1942@dreamhomes.com
16,John,Wilson,Sales,47134,(460)190-2835,johnwilson7328@dreamhomes.com
17,Betty,Jackson,Accountant,65102,(864)928-3947,bettyjackson7903@dreamhomes.com
18,Karen,Brown,Manager,90313,(226)302-0146,karenbrown9702@dreamhomes.com
19,Richard,White,Manager,113197,(602)535-0316,richardwhite9616@dreamhomes.com
20,Robert,Wright,Manager,126302,(737)842-7446,robertwright2456@dreamhomes.com
21,Robert,Williams,Receptionist,37367,(481)134-2815,robertwilliams3602@dreamhomes.com
22,Anthony,Young,IT,112458,(852)940-7016,anthonyyoung2477@dreamhomes.com
23,Joseph,Garcia,Receptionist,35426,(639)964-6653,josephgarcia8495@dreamhomes.com
24,Thomas,Torres,Accountant,59766,(927)149-9880,thomastorres6688@dreamhomes.com
25,William,Wright,Accountant,51331,(415)346-1449,williamwright6316@dreamhomes.com
26,Linda,Gonzalez,IT,105047,(209)417-7112,lindagonzalez4785@dreamhomes.com
27,Karen,Scott,IT,89665,(489)164-4840,karenscott4424@dreamhomes.com
28,David,Thomas,IT,102123,(415)397-6634,davidthomas3026@dreamhomes.com
29,Donald,Wilson,Sales,40713,(515)416-1513,donaldwilson9128@dreamhomes.com
30,James,Jackson,Accountant,66567,(438)162-3023,jamesjackson3059@dreamhomes.com
31,David,Wright,Manager,96299,(834)623-5805,davidwright9211@dreamhomes.com
32,Betty,Williams,Manager,112735,(804)119-1177,bettywilliams9927@dreamhomes.com
33,Paul,White,Manager,113340,(329)974-2035,paulwhite6799@dreamhomes.com
34,Donald,Allen,IT,82676,(687)969-6692,donaldallen9123@dreamhomes.com
35,Sandra,Jones,IT,85142,(143)269-2842,sandrajones9777@dreamhomes.com
36,Dorothy,Anderson,IT,84811,(503)636-3524,dorothyanderson5528@dreamhomes.com
37,William,Gonzalez,Receptionist,33212,(732)367-182,williamgonzalez6424@dreamhomes.com
38,Donald,Moore,Manager,122289,(528)688-1488,donaldmoore7642@dreamhomes.com
39,Steven,Hill,Accountant,55149,(868)273-6912,stevenhill2052@dreamhomes.com
40,Lisa,Jackson,IT,82346,(170)104-9183,lisajackson6831@dreamhomes.com
41,Barbara,Clark,Manager,108927,(270)327-9742,barbaraclark2574@dreamhomes.com
42,Christopher,Clark,Manager,124705,(496)915-5238,christopherclark9634@dreamhomes.com
43,Susan,Davis,IT,92101,(241)449-5273,susandavis5190@dreamhomes.com
44,Elizabeth,Ramirez,Manager,103963,(206)090-843,elizabethramirez8266@dreamhomes.com
45,Richard,Martinez,IT,84760,(396)161-1750,richardmartinez6397@dreamhomes.com
46,Paul,Lopez,Accountant,61451,(113)515-0730,paullopez4453@dreamhomes.com
47,Richard,Nguyen,Accountant,53809,(176)033-0414,richardnguyen1878@dreamhomes.com
48,Lisa,Perez,Receptionist,36927,(265)042-5248,lisaperez9948@dreamhomes.com
49,Sandra,Martinez,Manager,119418,(970)745-3376,sandramartinez7786@dreamhomes.com
50,Michael,Jones,Manager,95285,(830)685-5515,michaeljones9068@dreamhomes.com
51,David,Ramirez,Accountant,63297,(856)463-6713,davidramirez1583@dreamhomes.com
52,Mary,Smith,Accountant,68419,(298)899-5186,marysmith7582@dreamhomes.com
53,Nancy,Moore,Accountant,68503,(856)463-6713,nancymoore8295@dreamhomes.com
54,Robert,Harris,IT,84997,(496)915-5238,robertharris3636@dreamhomes.com
55,David,Allen,Receptionist,36212,(800)474-2906,davidallen5218@dreamhomes.com
56,Joseph,White,Receptionist,34689,(970)818-0934,josephwhite8696@dreamhomes.com
57,Steven,Perez,Manager,108376,(884)310-0972,stevenperez8338@dreamhomes.com
58,Steven,Nguyen,Sales,47957,(103)476-3654,stevennguyen3231@dreamhomes.com
59,Joshua,Smith,IT,118460,(678)378-982,joshuasmith6525@dreamhomes.com
60,Sandra,Hernandez,IT,88202,(527)204-2691,sandrahernandez2145@dreamhomes.com
61,Daniel,Jackson,Receptionist,39309,(155)196-7599,danieljackson4595@dreamhomes.com
62,Ashley,Taylor,Sales,43690,(262)904-9141,ashleytaylor9497@dreamhomes.com
63,Emily,White,IT,91241,(115)568-8561,emilywhite7269@dreamhomes.com
64,Richard,Wright,Sales,50947,(183)559-9090,richardwright5460@dreamhomes.com
65,Jessica,Nguyen,IT,107803,(965)693-3392,jessicanguyen3208@dreamhomes.com
66,Ashley,Taylor,Sales,59443,(170)104-9183,ashleytaylor9081@dreamhomes.com
67,Dorothy,Perez,Receptionist,35838,(639)813-4835,dorothyperez4744@dreamhomes.com
68,James,Scott,Manager,90919,(116)215-2965,jamesscott8949@dreamhomes.com
69,Joseph,Clark,Accountant,67408,(515)297-9403,josephclark4301@dreamhomes.com
70,Elizabeth,Garcia,Sales,50563,(927)149-9880,elizabethgarcia8885@dreamhomes.com
71,Sarah,Lee,Manager,104152,(496)915-5238,sarahlee6108@dreamhomes.com
72,Betty,Walker,Receptionist,37114,(837)311-4017,bettywalker8973@dreamhomes.com
73,Robert,Jones,Accountant,55390,(310)500-1505,robertjones1511@dreamhomes.com
74,Joseph,Martin,Manager,119096,(927)149-9880,josephmartin1623@dreamhomes.com
75,Robert,Young,Accountant,50402,(969)456-9288,robertyoung5216@dreamhomes.com
76,Anthony,Nguyen,Accountant,63406,(927)149-9880,anthonynguyen3389@dreamhomes.com
77,Joshua,Gonzalez,Manager,102072,(946)508-9517,joshuagonzalez5163@dreamhomes.com
78,Nancy,Taylor,IT,83789,(387)865-7242,nancytaylor5688@dreamhomes.com
79,Elizabeth,Moore,IT,104997,(895)662-9477,elizabethmoore5873@dreamhomes.com
80,Donald,Walker,Receptionist,32679,(947)976-5855,donaldwalker2712@dreamhomes.com
81,Joshua,Wright,IT,100029,(517)558-4948,joshuawright1297@dreamhomes.com
82,John,Lopez,Manager,101775,(610)863-755,johnlopez4980@dreamhomes.com
83,Daniel,Williams,Accountant,61808,(804)119-1177,danielwilliams9431@dreamhomes.com
84,Andrew,White,IT,109540,(209)417-7112,andrewwhite5036@dreamhomes.com
85,Andrew,Johnson,IT,110006,(168)788-1215,andrewjohnson1797@dreamhomes.com
86,Lisa,Brown,IT,109461,(769)882-7418,lisabrown1171@dreamhomes.com
87,Paul,Robinson,Sales,40214,(796)712-0271,paulrobinson5039@dreamhomes.com
88,Joshua,Jones,Manager,93116,(438)162-3023,joshuajones5948@dreamhomes.com
89,Joseph,Wright,IT,103267,(103)730-4338,josephwright2227@dreamhomes.com
90,John,Gonzalez,Manager,91562,(191)445-3416,johngonzalez1782@dreamhomes.com
91,Kimberly,Martin,Sales,55182,(499)980-8588,kimberlymartin9685@dreamhomes.com
92,David,Nguyen,Sales,49576,(575)529-5703,davidnguyen7194@dreamhomes.com
93,John,Ramirez,Receptionist,39523,(804)119-1177,johnramirez1258@dreamhomes.com
94,Anthony,Martin,Receptionist,39592,(415)397-6634,anthonymartin6286@dreamhomes.com
95,William,Sanchez,IT,115255,(920)425-7014,williamsanchez1800@dreamhomes.com
96,Charles,Walker,Manager,107922,(696)922-2731,charleswalker8511@dreamhomes.com
97,David,Thomas,Accountant,53959,(982)847-2022,davidthomas7568@dreamhomes.com
